"","state","year","cigsale","lnincome","beer","age15to24","retprice"
"1",1,1970,89.8000030517578,NA,NA,0.178861781954765,39.5999984741211
"2",1,1971,95.4000015258789,NA,NA,0.179927840828896,42.7000007629395
"3",1,1972,101.099998474121,9.49847602844238,NA,0.180993899703026,42.2999992370605
"4",1,1973,102.900001525879,9.5501070022583,NA,0.182059943675995,42.0999984741211
"5",1,1974,108.199996948242,9.53716278076172,NA,0.183126002550125,43.0999984741211
"6",1,1975,111.699996948242,9.54003143310547,NA,0.184192061424255,46.5999984741211
"7",1,1976,116.199996948242,9.5919075012207,NA,0.185258120298386,50.4000015258789
"8",1,1977,117.099998474121,9.6174955368042,NA,0.186324179172516,50.0999984741211
"9",1,1978,123,9.65407180786133,NA,0.187390223145485,55.0999984741211
"10",1,1979,121.400001525879,9.64918041229248,NA,0.188456282019615,56.7999992370605
"11",1,1980,123.199996948242,9.6121940612793,NA,0.189522340893745,60.5999984741211
"12",1,1981,119.599998474121,9.60959434509277,NA,0.185842230916023,68.8000030517578
"13",1,1982,119.099998474121,9.59757995605469,NA,0.182162120938301,73.0999984741211
"14",1,1983,116.300003051758,9.62676906585693,NA,0.178482010960579,84.4000015258789
"15",1,1984,113,9.67162132263184,18,0.174801900982857,90.8000030517578
"16",1,1985,114.5,9.70319271087646,18.7000007629395,0.171121791005135,99
"17",1,1986,116.300003051758,9.74594974517822,19.2999992370605,0.167441681027412,103
"18",1,1987,114,9.76209163665771,19.3999996185303,0.16376157104969,110
"19",1,1988,112.099998474121,9.78176975250244,19.3999996185303,0.160081461071968,114.400001525879
"20",1,1989,105.599998474121,9.80252742767334,19.3999996185303,0.156401351094246,122.300003051758
"21",1,1990,108.599998474121,9.81429004669189,20.1000003814697,0.152721241116524,139.100006103516
"22",1,1991,107.900001525879,9.81925964355469,20.1000003814697,NA,144.399993896484
"23",1,1992,109.099998474121,9.84528636932373,20.3999996185303,NA,172.199996948242
"24",1,1993,108.5,9.85216045379639,20.2999992370605,NA,176.199996948242
"25",1,1994,107.099998474121,9.87933444976807,21,NA,154.600006103516
"26",1,1995,102.599998474121,9.92440414428711,20.6000003814697,NA,155.100006103516
"27",1,1996,101.400001525879,9.94002723693848,21,NA,158.300003051758
"28",1,1997,104.900001525879,9.93727016448975,20.7999992370605,NA,167.399993896484
"29",1,1998,106.199996948242,NA,NA,NA,180.5
"30",1,1999,100.699996948242,NA,NA,NA,195.600006103516
"31",1,2000,96.1999969482422,NA,NA,NA,270.700012207031
"32",2,1970,100.300003051758,NA,NA,0.169006764888763,36.7000007629395
"33",2,1971,104.099998474121,NA,NA,0.169953852891922,38.7999992370605
"34",2,1972,103.900001525879,9.46451377868652,NA,0.170900955796242,44.0999984741211
"35",2,1973,108,9.55683040618896,NA,0.1718480437994,45.0999984741211
"36",2,1974,109.699996948242,9.54228591918945,NA,0.172795131802559,45.5
"37",2,1975,114.800003051758,9.51409435272217,NA,0.173742234706879,48.5999984741211
"38",2,1976,119.099998474121,9.55815315246582,NA,0.174689322710037,50.9000015258789
"39",2,1977,122.599998474121,9.59092330932617,NA,0.175636410713196,52.5999984741211
"40",2,1978,127.300003051758,9.6572380065918,NA,0.176583498716354,56.5
"41",2,1979,126.5,9.6335334777832,NA,0.177530601620674,58.4000015258789
"42",2,1980,131.800003051758,9.57380294799805,NA,0.178477689623833,61.5
"43",2,1981,128.699996948242,9.59304141998291,NA,0.175011113286018,64.6999969482422
"44",2,1982,127.400001525879,9.57369995117188,NA,0.171544536948204,72.0999984741211
"45",2,1983,128,9.59305286407471,NA,0.168077945709229,82
"46",2,1984,123.099998474121,9.65044021606445,17.8999996185303,0.164611369371414,93.5999984741211
"47",2,1985,125.800003051758,9.67552661895752,18.1000003814697,0.1611447930336,98.5
"48",2,1986,126,9.70593929290771,18.7000007629395,0.157678216695786,103.599998474121
"49",2,1987,122.300003051758,9.70557403564453,19,0.154211640357971,113
"50",2,1988,121.5,9.72153186798096,18.8999996185303,0.150745049118996,119.900001525879
"51",2,1989,118.300003051758,9.73737049102783,19,0.147278472781181,127.699996948242
"52",2,1990,113.099998474121,9.7363109588623,19.8999996185303,0.143811896443367,141.199996948242
"53",2,1991,116.800003051758,9.74306774139404,19.8999996185303,NA,146.5
"54",2,1992,126,9.78862857818604,20,NA,177.300003051758
"55",2,1993,113.800003051758,9.78514194488525,19.7000007629395,NA,179.899993896484
